Address,x_coord,y_coord,Id,Source,Site name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2
1342 S RACINE AVE ,1168496.43018,1893659.37001,3022,purple_binder_early_childhood.csv, ABLA Child Development Center,1342 S Racine Avenue ,60608,7335992,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
1854 S RACINE AVE ,1168581.64363,1890952.566,3138,purple_binder_early_childhood.csv, El Hogar del Nino,1854 S Racine Avenue ,60608,2430011,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
3855 N SEELEY AVE ,1162096.1693,1925826.44563,3126,purple_binder_early_childhood.csv, Concordia Child Care Center,3855 N Seeley Avenue ,60618,9353739,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
3053 S NORMAL AVE ,1173544.89591,1884442.83143,3087,purple_binder_early_childhood.csv, Central Baptist Bridgeport School,3053 S Normal Avenue ,60616,8425566,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
1040 N KEELER AVE ,1147917.0521,1906778.48729,1564,chapin_dfss_providers_2011_070212.csv,"CHICAGO PUBLIC SCHOOLS PICCOLO SPECIALTY SCHOOL, BRIAN",1040 N KEELER AVENUE ,60651,5344425,,,,,,,CHICAGO PUBLIC SCHOOLS,HUMBOLDT PARK,,,,,Mrs. Althea  Hammond,Yes,No,No,,,,,,,,,,
1420 N HUDSON AVE ,1172959.42717,1909760.3376,3304,purple_binder_early_childhood.csv, Ferguson CPC,1420 N Hudson Avenue ,60610,5348580,,,,,,,,,,,,,,,,,,,,,,,,,,Child Parent Center
1530 S HAMLIN AVE ,1151198.04787,1892080.43019,3101,purple_binder_early_childhood.csv, Chicago Youth Centers - BBR Youth Center,1530 S Hamlin Avenue ,60623,7621140,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
2010 N CENTRAL PARK AVE ,1151945.09784,1913232.25427,1509,chapin_dfss_providers_2011_070212.csv,"CHICAGO PUBLIC SCHOOLS FUNSTON, FREDERICK",2010 N CENTRAL PARK ,60647,5344125,,,,,,,CHICAGO PUBLIC SCHOOLS,LOGAN SQUARE,,,,,Ms. Nilma Osiecki,Yes,No,No,,,,,,,,,,
3140 W OGDEN AVE ,1155575.49624,1891707.69563,3050,purple_binder_early_childhood.csv, Boys & Girls Clubs of Chicago - Ida Mae Fletcher,3140 W Ogden Avenue ,60623,7627383,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
15 W DELAWARE PL ,1176062.35497,1906539.56291,3260,purple_binder_early_childhood.csv, Sinai Preschool,15 W Delaware Place ,60610,8677010,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
5659 S UNION AVE ,1172699.81553,1867166.92402,3024,purple_binder_early_childhood.csv, Abraham Lincoln Centre,5659 S Union Avenue ,60621,7832828,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
4707 W MARQUETTE RD ,1146243.1478,1859595.47328,1470,chapin_dfss_providers_2011_070212.csv,"CHICAGO PUBLIC SCHOOLS AZUELA, MARIANO",4707 W MARQUETTE ,60629,5357395,,,,,,,CHICAGO PUBLIC SCHOOLS,WEST LAWN,,,,,Carmen Navarro,Yes,No,No,,,,,,,,,,
2745 W ROOSEVELT RD ,1158060.49869,1894450.62773,1484,chapin_dfss_providers_2011_070212.csv,"CHICAGO PUBLIC SCHOOLS CHALMERS, THOMAS",2745 W ROOSEVELT ,60608,5341720,,,,,,,CHICAGO PUBLIC SCHOOLS,NORTH LAWNDALE,,,,,Ms. Patricia Vaughn-Dossiea,Yes,No,No,,,,,,,,,,
5080 W HARRISON ST ,1142430.39311,1896932.90531,3299,purple_binder_early_childhood.csv, YMCA West Side,5080 W Harrison Street ,60644,9553100,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
1345 N ROCKWELL ST ,1158913.25251,1909056.32217,3309,purple_binder_early_childhood.csv, Von Humboldt,1345 N Rockwell Street ,60622,5344668,,,,,,,,,,,,,,,,,,,,,,,,,,Child Parent Center
1631 W JONQUIL TER ,1164136.64311,1950838.93617,1510,chapin_dfss_providers_2011_070212.csv,"CHICAGO PUBLIC SCHOOLS GALE COMM. ACAD., STEPHEN F.",1631 W JONQUIL TERRACE ,60626,5342100,,,,,,,CHICAGO PUBLIC SCHOOLS,ROGERS PARK,,,,,Mr. Richard P.  Glass Jr.,Yes,No,No,,,,,,,,,,
1656 N SPRINGFIELD AVE ,1150042.08628,1910973.98884,1700,chapin_dfss_providers_2011_070212.csv,ERIE NEIGHBORHOOD HOUSE FCCH-SILVERIA CRUZ SITE,1656 N SPRINGFIELD ,60647,4322213,,,,,,,ERIE NEIGHBORHOOD HOUSE,HUMBOLDT PARK,,,,,Cythnia Suarez,No,Yes,No,"6109IP(EHS Collaboration Enhanced Home IP), 5681IT(Child Car",,,,,,,,,
222 S JEFFERSON ST ,1172265.15234,1899133.64933,3181,purple_binder_early_childhood.csv, Human Resources Development Institute,222 S Jefferson Street ,60661,4686959,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
6201 S SANGAMON ST ,1171169.08794,1863697.02896,3197,purple_binder_early_childhood.csv, Kinara Community Services Day Care Center,6201 S Sangamon Street ,60621,3710720,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
4214 S ST LAWRENCE AVE ,1180785.81176,1877131.97958,1507,chapin_dfss_providers_2011_070212.csv,"CHICAGO PUBLIC SCHOOLS FULLER, MELVILLE W.",4214 S ST LAWRENCE ,60653,5351687,,,,,,,CHICAGO PUBLIC SCHOOLS,GRAND BOULEVARD,,,,,Dr. Patricia D.  Kennedy,Yes,No,No,,,,,,,,,,
2710 S DEARBORN ST ,1176238.75741,1886386.39624,1590,chapin_dfss_providers_2011_070212.csv,"CHICAGO PUBLIC SCHOOLS WILLIAMS, DANIEL H.",2710 S DEARBORN ,60616,5349226,,,,,,,CHICAGO PUBLIC SCHOOLS,DOUGLAS,,,,,Ms. Lashonn Graham,Yes,No,No,,,,,,,,,,
2008 W SUPERIOR ST ,1162817.98257,1905006.4518,1699,chapin_dfss_providers_2011_070212.csv,ERIE NEIGHBORHOOD HOUSE FCCH-SERVIA GALVA SITE,2008 W SUPERIOR ,60622,4322213,,,,,,,ERIE NEIGHBORHOOD HOUSE,WEST TOWN,,,,,Cynthia Suarez,No,No,No,"5683IT(Child Care Home IT), 5683PS(Child Care Home PS), 5683",,,,,,,,,
5916 W SUPERIOR ST ,1136797.96279,1904491.64316,1432,chapin_dfss_providers_2011_070212.csv,CAROLE ROBERTSON CENTER FOR LEARNING FCCH-ROBBIE ANTHONY,5916 W SUPERIOR ,60644,2974124,,,,,,,CAROLE ROBERTSON CENTER FOR LEARNING,AUSTIN,,,,,Jolene Martin,No,No,No,"6101PS(HS Collaboration with Childcare Homes), 6101IP(EHS Co",,,,,,,,,
125 S WACKER DR ,1174045.39219,1899542.79748,3111,purple_binder_early_childhood.csv, Childrens Home and Aid Society,125 S Wacker Drive ,60606,4240200,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
3907 W FILLMORE ST ,1150444.29997,1895018.18328,1853,chapin_dfss_providers_2011_070212.csv,NORTH AVENUE DAY NURSERY FCCH-YONNA BANKS,3907 W FILLMORE ,60624,4919316,,,,,,,NORTH AVENUE DAY NURSERY,NORTH LAWNDALE,,,,,Sonja Anthony,No,No,No,,,,,,,,,,
12803 S HALSTED ST ,1173417.14311,1819894.83851,1389,chapin_dfss_providers_2011_070212.csv,ADA S. MCKINLEY COMMUNITY SERVICES CHILDREN'S CENTER (HALSTED),12803 S HALSTED ,60628,2645171,,,,,,,ADA S. MCKINLEY COMMUNITY SERVICES,WEST PULLMAN,,,,,Olivia Ramsey,Yes,No,No,,,,,,,,,,
111 E WACKER DR ,1177514.66745,1902478.57834,3193,purple_binder_early_childhood.csv, Kids Hope United,111 E Wacker Drive ,60601,9226733,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
219 S DEARBORN ST ,1176073.71038,1899238.53822,3335,purple_binder_early_childhood.csv, C.C.C. Learning Center,219 S Dearborn Street ,60605,3538687,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
4920 W MADISON ST ,1143461.14311,1899716.93851,3212,purple_binder_early_childhood.csv, Lutheran Family Mission Family Center,4920 W Madison Street ,60644,2872921,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
735 W DIVISION ST ,1170991.54655,1908121.78822,3203,purple_binder_early_childhood.csv, LaSalle Street Cycle,735 W Division Street ,60610,6642880,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
5140 S FEDERAL ST ,1176496.80145,1870801.1555,3085,purple_binder_early_childhood.csv, Centers For New Horizons Robert Taylor School,5140 S Federal Street ,60609,5360510,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
6749 S WINCHESTER AVE ,1164597.73419,1859700.61847,1872,chapin_dfss_providers_2011_070212.csv,SALVATION ARMY FCCH-MILDRED SPEARS,6749 S WINCHESTER ,60636,9301832,,,,,,,SALVATION ARMY,WEST ENGLEWOOD,,,,,Kelli Kemp,No,No,No,"6107IP(EHS Collaboration Enhanced Home IP), 6107IT(EHS Enhan",,,,,,,,,
4414 N CHRISTIANA AVE ,1153179.12067,1929230.92711,1688,chapin_dfss_providers_2011_070212.csv,ERIE NEIGHBORHOOD HOUSE FCCH-JESUS E. RAMIREZ SITE,4414 N CHRISTIANA ,60625,4322213,,,,,,,ERIE NEIGHBORHOOD HOUSE,ALBANY PARK,,,,,Cynthia Suarez,No,Yes,No,"5966IP(EHS Collaboration Enhanced Home IP), 5694IT(Child Car",,,,,,,,,
1000 N ORLEANS ST ,1173639.66629,1907255.34686,3112,purple_binder_early_childhood.csv, ChildServ - St Matthew Head Start,1000 N Orleans Street ,60610,9443403,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
7648 N PAULINA ST ,1163565.84311,1950852.23851,3170,purple_binder_early_childhood.csv, Howard Area Community Center,7648 N Paulina Street ,60626,2626622,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
3221 N SACRAMENTO AVE ,1156045.85781,1921394.64316,1536,chapin_dfss_providers_2011_070212.csv,"CHICAGO PUBLIC SCHOOLS LINNE, CARL VON",3221 N SACRAMENTO ,60618,5345262,,,,,,,CHICAGO PUBLIC SCHOOLS,AVONDALE,,,,,Mr. Daniel W.  Rohan,Yes,No,No,,,,,,,,,,
2145 N HALSTED ST ,1170753.34311,1914689.83851,3272,purple_binder_early_childhood.csv, St. Vincent De Paul Center,2145 N Halsted Street ,60614,9436776,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
11411 S EGGLESTON AVE ,1175450.26653,1829106.94254,1517,chapin_dfss_providers_2011_070212.csv,"CHICAGO PUBLIC SCHOOLS HALEY, ALEX",11411 S EGGLESTON ,60628,5355345,,,,,,,CHICAGO PUBLIC SCHOOLS,ROSELAND,,,,,Ms. Vaida Williams,Yes,No,No,,,,,,,,,,
7559 W ADDISON ST ,1124848.64311,1922936.13851,3189,purple_binder_early_childhood.csv, Jolly Fun House Playschool,7559 W Addison Street ,60634,,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
8716 S WALLACE ST ,1173632.27818,1846908.80365,1571,chapin_dfss_providers_2011_070212.csv,"CHICAGO PUBLIC SCHOOLS RYDER, WILLIAM H.",8716 S WALLACE STREET ,60620,5353843,,,,,,,CHICAGO PUBLIC SCHOOLS,AUBURN GRESHAM,,,,,Mrs. Janice  Preston,Yes,No,No,,,,,,,,,,
1718 S LOOMIS ST ,1167231.07934,1891632.98884,3137,purple_binder_early_childhood.csv, El Hogar Del Nino,1718 S Loomis Street ,60608,5639796,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
4950 W THOMAS ST ,1143287.25483,1907098.39047,3047,purple_binder_early_childhood.csv, Bethel New Life,4950 W Thomas Street ,60651,4737870,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
8609 S INGLESIDE AVE ,1184131.14311,1848043.40726,1597,chapin_dfss_providers_2011_070212.csv,CHICAGO STATE UNIVERSITY FCCH-LATASHIE  TAIWO,8609 S INGLESIDE ,60619,4880716,,,,,,,CHICAGO STATE UNIVERSITY,CHATHAM,,,,,Evelyn Lang,No,Yes,No,"5971IP(EHS Collaboration Enhanced Home IP), 5973IT(Child Car",,,,,,,,,
1743 N FRANCISCO AVE ,1156920.86564,1911759.02279,1844,chapin_dfss_providers_2011_070212.csv,NORTH AVENUE DAY NURSERY FCCH-LUZ GONZALEZ,1743 N FRANCISCO ,60647,,,,,,,,NORTH AVENUE DAY NURSERY,WEST TOWN,,,,,,No,No,No,"5836IT(Child Care Home IT), 5836PS(Child Care Home PS), 5836",,,,,,,,,
410 N MONTICELLO AVE ,1151872.10507,1902564.05211,1588,chapin_dfss_providers_2011_070212.csv,"CHICAGO PUBLIC SCHOOLS WARD, LAURA S.",410 N MONTICELLO ,60624,5346440,,,,,,,CHICAGO PUBLIC SCHOOLS,HUMBOLDT PARK,,,,,Ms. Relanda  Hobbs,Yes,No,No,,,,,,,,,,
1515 W MONROE ST ,1166086.53499,1899526.17402,3253,purple_binder_early_childhood.csv, Salvation Army - Child Care,1515 W Monroe Street ,60607,7332533,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
3905 W WILCOX ST ,1150339.29541,1898928.05057,3302,purple_binder_early_childhood.csv, Delano,3905 W Wilcox Street ,60624,5346450,,,,,,,,,,,,,,,,,,,,,,,,,,Child Parent Center
5300 S HERMITAGE AVE ,1165488.44311,1869302.33851,1508,chapin_dfss_providers_2011_070212.csv,"CHICAGO PUBLIC SCHOOLS FULTON, ROBERT",5300 S HERMITAGE ,60609,5359000,,,,,,,CHICAGO PUBLIC SCHOOLS,NEW CITY,,,,,Dr. Warletta  Johnson-Brookins,Yes,No,No,,,,,,,,,,
10001 S WOODLAWN AVE ,1186885.16401,1837972.87773,1408,chapin_dfss_providers_2011_070212.csv,BOARD TRUSTEES-CITY COLLEGES OF CHICAGO OLIVE-HARVEY COLLEGE,10001 S WOODLAWN ,60628,2916317,,,,,,,BOARD TRUSTEES-CITY COLLEGES OF CHICAGO,PULLMAN,,,,,Tiffany Carter,Yes,No,No,7056PS(HS Collaboration with Childcare & PreK),,,,,,,,,
1254 N MAPLEWOOD AVE ,1159102.01896,1908489.02279,1696,chapin_dfss_providers_2011_070212.csv,ERIE NEIGHBORHOOD HOUSE FCCH-MIGDALIA SEPULVEDA SITE,1254 N MAPLEWOOD ,60622,4322213,,,,,,,ERIE NEIGHBORHOOD HOUSE,WEST TOWN,,,,,Cynthia Suarez,No,No,No,"5701IT(Child Care Home IT), 5701PS(Child Care Home PS), 5701",,,,,,,,,
1119 N CLEVELAND AVE ,1172783.94311,1907687.83851,1527,chapin_dfss_providers_2011_070212.csv,"CHICAGO PUBLIC SCHOOLS JENNER ACADEMY OF THE ARTS, EDWARD",1119 N CLEVELAND ,60610,5348440,,,,,,,CHICAGO PUBLIC SCHOOLS,NEAR NORTH SIDE,,,,,Ms. Zelma  Woodson,Yes,No,No,,,,,,,,,,
6954 S FAIRFIELD AVE ,1159173.14392,1858186.96106,1419,chapin_dfss_providers_2011_070212.csv,CAROLE ROBERTSON CENTER FOR LEARNING FCCH-KEMISHA ALLEN,6954 S FAIRFIELD ,60629,,,,,,,,CAROLE ROBERTSON CENTER FOR LEARNING,CHICAGO LAWN,,,,,Jolene Martin,No,No,No,5983PS(HS Collaboration with Childcare Homes),,,,,,,,,
2102 W MONROE ST ,1162261.84857,1899653.16785,3051,purple_binder_early_childhood.csv, Boys & Girls Clubs of Chicago - James Jordan Club,2102 W Monroe Street ,60612,4324294,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
11710 S MORGAN ST ,1171604.1883,1827087.55982,1522,chapin_dfss_providers_2011_070212.csv,"CHICAGO PUBLIC SCHOOLS HIGGINS C.A., THOMAS J.",11710 S MORGAN ,60643,5355625,,,,,,,CHICAGO PUBLIC SCHOOLS,WEST PULLMAN,,,,,Dr. Mabel  Alfred,Yes,No,No,,,,,,,,,,
3527 S WALLACE ST ,1172977.37284,1881547.11847,1543,chapin_dfss_providers_2011_070212.csv,"CHICAGO PUBLIC SCHOOLS MCCLELLAN, GEORGE B.",3527 S WALLACE ,60609,5351732,,,,,,,CHICAGO PUBLIC SCHOOLS,BRIDGEPORT,,,,,Mary E.  Garcia-Humphreys,Yes,No,No,,,,,,,,,,
902 E 133RD PL ,1184172.9396,1817601.46415,3310,purple_binder_early_childhood.csv, Wheatley,902 E 133rd Place ,60627,5355718,,,,,,,,,,,,,,,,,,,,,,,,,,Child Parent Center
2114 W 22ND PL ,1162550.79283,1889125.28513,3225,purple_binder_early_childhood.csv, Marillac Social Center,2114 W 22nd Place ,60612,7227440,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
3849 W 69TH PL ,1151774.56928,1858117.4734,1526,chapin_dfss_providers_2011_070212.csv,"CHICAGO PUBLIC SCHOOLS HURLEY, EDWARD N.",3849 W 69TH PLACE ,60629,5352068,,,,,,,CHICAGO PUBLIC SCHOOLS,WEST LAWN,,,,,Mrs. Dolores  Cupp,Yes,No,No,,,,,,,,,,
6010 S PULASKI RD ,1150637.64311,1864394.23851,1643,chapin_dfss_providers_2011_070212.csv,EASTER SEALS SOCIETY OF METROPOLITAN CHICAGO LIZ-NEY-LAND #2,6010 S PULASKI ,60632,5828355,,,,,,,EASTER SEALS SOCIETY OF METROPOLITAN CHICAGO,WEST LAWN,,,,,Liz Medrano,Yes,No,No,,,,,,,,,,
3014 W 39TH PL ,1156788.68542,1878419.19717,1493,chapin_dfss_providers_2011_070212.csv,"CHICAGO PUBLIC SCHOOLS DAVIS, NATHAN",3014 W 39TH PLACE ,60632,5354540,,,,,,,CHICAGO PUBLIC SCHOOLS,BRIGHTON PARK,,,,,Mr. Santos Gomez,Yes,No,No,,,,,,,,,,
6020 S PAULINA ST ,1165976.26109,1864667.05674,1873,chapin_dfss_providers_2011_070212.csv,SALVATION ARMY FCCH-SHIRLEY OLIVER,6020 S PAULINA ,60636,9126264,,,,,,,SALVATION ARMY,WEST ENGLEWOOD,,,,,Kelli Kemp,No,Yes,No,"5989IP(EHS Collaboration Enhanced Home IP), 5989IT(EHS Enhan",,,,,,,,,
4705 S STATE ST ,1177160.61015,1873778.92711,3318,purple_binder_early_childhood.csv, Firman Community Services - Early Beginnings,4705 S State Street ,60609,,,,,,,,,,,,,,,,,,,,,,,,,,,Early Head Start
5255 S STATE ST ,1177368.10535,1870175.78513,3301,purple_binder_early_childhood.csv, Beasley,5255 S State Street ,60609,5351230,,,,,,,,,,,,,,,,,,,,,,,,,,Child Parent Center
5120 N WINTHROP AVE ,1167820.21752,1934559.30674,1513,chapin_dfss_providers_2011_070212.csv,"CHICAGO PUBLIC SCHOOLS GOUDY, WILLIAM C.",5120 N WINTHROP ,60640,5342480,,,,,,,CHICAGO PUBLIC SCHOOLS,UPTOWN,,,,,Pamela S.  Brandt,Yes,No,No,,,,,,,,,,
2815 W BYRON ST ,1156854.34956,1925684.7018,3252,purple_binder_early_childhood.csv, Saint Paul's House and Health Care Center - Byron,2815 W Byron Street ,60618,5838385,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
1504 N LECLAIRE AVE ,1142020.6139,1909580.2697,1870,chapin_dfss_providers_2011_070212.csv,SALVATION ARMY FCCH-GERALDINE SIVERAND,1504 N LECLAIRE ,60620,8040406,,,,,,,SALVATION ARMY,AUSTIN,,,,,Kelli Kemp,No,No,No,"5759IP(EHS Collaboration Enhanced Home IP), 5759IT(EHS Enhan",,,,,,,,,
2523 N PARKSIDE AVE ,1138363.97933,1916317.42711,1687,chapin_dfss_providers_2011_070212.csv,ERIE NEIGHBORHOOD HOUSE FCCH-IRAIDA GARRIGA SITE,2523 N PARKSIDE ,60639,4322213,,,,,,,ERIE NEIGHBORHOOD HOUSE,BELMONT CRAGIN,,,,,Cynthia Suarez,No,Yes,No,"6110IP(EHS Collaboration Enhanced Home IP), 5684IT(Child Car",,,,,,,,,
3473 W COLUMBUS AVE ,1154690.77186,1850414.65242,709,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Teddy Bear 2 Columbus,3473 W Columbus ,,,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
5120 N BROADWAY  ,1167271.44311,1934296.43851,1217,CPS_Early_Childhood_Portal_scrape.csv, South East Asia Center - South-East Asia Center(Broadway),5120 N Broadway Ave ,,,,School Age,PART DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
3007 W DIVERSEY AVE ,1155813.76627,1918382.01661,1451,chapin_dfss_providers_2011_070212.csv,CHICAGO COMMONS ASSOCIATION DIVERSEY DAY CARE,3007 W DIVERSEY ,60647,3427777,,,,,,,CHICAGO COMMONS ASSOCIATION,LOGAN SQUARE,,,,,Alberta Varda,Yes,No,No,,,,,,,,,,
4537 S LECLAIRE AVE ,1143198.39313,1873916.64624,1783,chapin_dfss_providers_2011_070212.csv,HULL HOUSE ASSOCIATION FCCH-ROBIN JAMES,4537 S LECLAIRE ,60639,2355342,,,,,,,HULL HOUSE ASSOCIATION,GARFIELD RIDGE,,,,,Etisha Wofford,No,No,No,,,,,,,,,,
3444 W WABANSIA AVE ,1153072.62347,1911341.76353,1584,chapin_dfss_providers_2011_070212.csv,"CHICAGO PUBLIC SCHOOLS STOWE, HARRIET BEECHER",3444 W WABANSIA ,60647,5344175,,,,,,,CHICAGO PUBLIC SCHOOLS,HUMBOLDT PARK,,,,,Dr. Charles L.  Kyle,Yes,No,No,,,,,,,,,,
1434 N PARKSIDE AVE ,1138269.61948,1909026.48884,1594,chapin_dfss_providers_2011_070212.csv,"CHICAGO PUBLIC SCHOOLS YOUNG, ELLA FLAGG",1434 N PARKSIDE ,60651,5346200,,,,,,,CHICAGO PUBLIC SCHOOLS,AUSTIN,,,,,Ms. Crystal Bell,Yes,No,No,,,,,,,,,,
2629 S LAWNDALE AVE ,1152205.60205,1886169.58452,1446,chapin_dfss_providers_2011_070212.csv,CHICAGO COMMONS ASSOCIATION A-Z MALL WORLD,2629 S LAWNDALE ,60623,,,,,,,,CHICAGO COMMONS ASSOCIATION,SOUTH LAWNDALE,,,,,,Yes,No,No,,,,,,,,,,
4906 N LAWNDALE AVE ,1150743.89591,1932419.55057,1698,chapin_dfss_providers_2011_070212.csv,ERIE NEIGHBORHOOD HOUSE FCCH-PATRICIA CASTANDA SITE,4906 N LAWNDALE ,60625,4322213,,,,,,,ERIE NEIGHBORHOOD HOUSE,ALBANY PARK,,,,,Cythnia Suarez,No,Yes,No,"5679IP(EHS Collaboration Enhanced Home IP), 5680IT(Child Car",,,,,,,,,
1746 S MILLER ST ,1169700.66153,1891832.45489,1530,chapin_dfss_providers_2011_070212.csv,"CHICAGO PUBLIC SCHOOLS JUNGMAN, JOSEPH",1746 S MILLER ,60608,5347375,,,,,,,CHICAGO PUBLIC SCHOOLS,LOWER WEST SIDE,,,,,Mrs. Zaida  Hernandez,Yes,No,No,,,,,,,,,,
5929 W WALTON ST ,1136652.35919,1905646.34069,1838,chapin_dfss_providers_2011_070212.csv,NORTH AVENUE DAY NURSERY FCCH-CHERYL COOK,5929 W WALTON ,60651,,,,,,,,NORTH AVENUE DAY NURSERY,AUSTIN,,,,,,No,No,No,"5835IT(Child Care Home IT), 5835PS(Child Care Home PS), 5835",,,,,,,,,
6110 S MOZART ST ,1158356.5118,1863931.48884,1717,chapin_dfss_providers_2011_070212.csv,GADS HILL CENTER FCCH-SARA ORTEGA SITE,6110 S MOZART ,60629,2511196,,,,,,,GADS HILL CENTER,CHICAGO LAWN,,,,,Celina Orozco,No,No,No,"5707IP(EHS Collaboration Enhanced Home IP), 5713IT(Child Car",,,,,,,,,
3151 W WALNUT ST ,1155382.90415,1901357.34686,1473,chapin_dfss_providers_2011_070212.csv,"CHICAGO PUBLIC SCHOOLS BEIDLER, JACOB",3151 W WALNUT ,60612,5346811,,,,,,,CHICAGO PUBLIC SCHOOLS,EAST GARFIELD PARK,,,,,Ms. Shirley Ewings,Yes,No,No,,,,,,,,,,
8050 S HONORE ST ,1165344.06652,1851122.89316,1436,chapin_dfss_providers_2011_070212.csv,CAROLE ROBERTSON CENTER FOR LEARNING FCCH-TOSHA KELLY,8050 S HONORE ,60620,,,,,,,,CAROLE ROBERTSON CENTER FOR LEARNING,AUBURN GRESHAM,,,,,Jolene Martin,Yes,No,No,5984PS(HS Collaboration with Childcare Homes),,,,,,,,,
21 E 101ST PL ,1178302.08363,1837613.27896,1792,chapin_dfss_providers_2011_070212.csv,HULL HOUSE ASSOCIATION FCCH-WANDA FIELDER,21 E 101ST PLACE ,60628,5686610,,,,,,,HULL HOUSE ASSOCIATION,ROSELAND,,,,,,No,No,No,"5961PS(HS Collaboration with Childcare Homes), 5961IP(EHS Co",,,,,,,,,
10414 S STATE ST ,1177981.75452,1835894.97958,1532,chapin_dfss_providers_2011_070212.csv,"CHICAGO PUBLIC SCHOOLS KOHN, ALFRED DAVID",10414 S STATE ,60628,5355489,,,,,,,CHICAGO PUBLIC SCHOOLS,ROSELAND,,,,,Ms. Carol  Briggs,Yes,No,No,,,,,,,,,,
638 W 54TH PL ,1172763.97503,1868851.79748,3303,purple_binder_early_childhood.csv, Dewey,638 W 54th Place ,60609,5351671,,,,,,,,,,,,,,,,,,,,,,,,,,Child Parent Center
310 W 24TH PL ,1174434.50709,1888152.53822,3116,purple_binder_early_childhood.csv, Chinese American Service League,310 W 24th Place ,60616,7910418,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
2131 W MONROE ST ,1162024.92553,1899414.85303,1521,chapin_dfss_providers_2011_070212.csv,"CHICAGO PUBLIC SCHOOLS HERBERT, VICTOR",2131 W MONROE ,60612,5347806,,,,,,,CHICAGO PUBLIC SCHOOLS,NEAR WEST SIDE,,,,,Ms. Denise J.  Gillespie,Yes,No,No,,,,,,,,,,
110 N PAULINA ST ,1164946.29113,1900938.39316,2746,ECE Chicago Find a School scrape.csv, Rudolph,110 N Paulina ,60612,5347460,,,,,,Near West Side,,,,,,,,,,,,,PFA-FD,,,,,,,
4433 N HARDING AVE ,1149333.59759,1929326.92711,1835,chapin_dfss_providers_2011_070212.csv,NORTH AVENUE DAY NURSERY FCCH-AMANDA LOPEZ,4433 N HARDING ,60625,,,,,,,,NORTH AVENUE DAY NURSERY,ALBANY PARK,,,,,Sonja Anthony,No,Yes,No,"5932IP(EHS Collaboration Enhanced Home IP), 5933IT(Child Car",,,,,,,,,
957 W GRACE ST ,1169025.67002,1925431.93328,3184,purple_binder_early_childhood.csv, JCYS Lakeview Family Center,957 W Grace Street ,60613,2812533,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
1010 E 72ND ST ,1184291.29136,1857610.16013,1568,chapin_dfss_providers_2011_070212.csv,"CHICAGO PUBLIC SCHOOLS REVERE, PAUL",1010 E 72ND STREET ,60619,5350618,,,,,,,CHICAGO PUBLIC SCHOOLS,GREATER GRAND CROSSING,,,,,Mrs. Veronica J.  Thompson,Yes,No,No,,,,,,,,,,
1420 W 17TH ST ,1167012.53301,1891940.09995,1566,chapin_dfss_providers_2011_070212.csv,CHICAGO PUBLIC SCHOOLS PILSEN COMM. ACADEMY,1420 W 17TH STREET ,60608,5347675,,,,,,,CHICAGO PUBLIC SCHOOLS,LOWER WEST SIDE,,,,,Dr. Adel M.  Ali,Yes,No,No,,,,,,,,,,
